fname|hd_leaves|hd_pages|hd_type|hd_script|div_rend|div_rendition|div_type
d19390702_kantorowicz_stein.xml|2 Bl.|3 S.|lt|ts|lt|2 Bl., 3 S.|ts
d19390704_kantorowicz_drury.xml|1 Bl.|1 S.|lt|ts|ts;1 Bl., 1 S.||lt
d19390714_kantorowicz_drury.xml|1 Bl.|1 S.|lt|ts|ts;1 Bl., 1 S.||lt
d19390714_kantorowicz_thomas.xml|2 Bl.|2 S.|lt|ts|ts|2 Bl., 2 S.|lt
d19390729_kantorowicz_bolton.xml|2 Bl.|2 S.|lt|ts|ts;2 Bl., 2 S.||lt
d19390729_kantorowicz_drury.xml|1 Bl.|1 S.|lt|ts|ts;1 Bl., 1 S.||lt
d19390906_kantorowicz_bowra.xml|2 Bl.|3 S.|lt|ts|ts;2 Bl., 3 S.||lt
d19390922_kantorowicz_salin.xml|2 Bl.|2 S.|lt|ts|ts;2 Bl., 2 S.||lt
d19391021_kantorowicz_saxl.xml|1 Bl.|2 S.|lt|ts|ts;1 Bl., 2 S.||lt
d19391221_kantorowicz_stein.xml|2 Bl.|4 S.|lt|ts|lt|2 Bl., 4 S.|ts
d19400520_kantorowicz_saxl.xml|1 Bl.|2 S.|lt|ts|ts;1 Bl., 2 S.||lt
d19400529_kantorowicz_flexner.xml|3 Bl.|3 S.|lt|ts|ts;3 Bl., 3 S.||lt
d19400607_kantorowicz_bolton.xml|1 Bl.|1 S.|lt|ms|ms;1 Bl., 1 S.||lt
d19400809_kantorowicz_wittkower.xml|1 Bl.|1 S.|tg|ts|ms;1 Bl., 1 S.||tg
d19401022_kantorowicz_lapiana.xml|1 Bl.|2 S.|lt|ts|ts;1 Bl., 2 S.||lt
d19401212_kantorowicz_roditi.xml|1 Bl.|2 S.|lt|ts|ts|1 Bl., 2 S.|lt
d19401214_kantorowicz_saxl.xml|1 Bl.|2 S.|lt|ts|ts;1 Bl., 2 S.||lt
d1940xxxx_kantorowicz_bernstorff.xml|2 Bl.|1 S.|lt|ts|ts; 2 Bl., 1 S.||lt
